100 300
74 81 -2
29 68 -4
54 94 -2
68 69 -4
63 28 -3
18 83 -1
50 91 4
12 56 -3
40 51 -1
43 95 5
92 66 1
12 74 -5
94 70 -3
54 97 -4
1 0 -2
33 22 0
85 30 5
67 15 5
84 3 3
16 28 1
43 14 -2
52 55 2
28 12 2
11 71 -2
31 56 1
40 30 4
60 55 -1
24 24 1
19 27 1
40 6 2
33 39 1
89 86 3
94 98 -5
92 64 -5
83 79 2
1 81 4
2 36 0
74 14 5
12 45 1
43 0 -5
27 52 3
81 44 -1
42 17 5
53 58 -3
47 52 4
28 72 -4
88 7 3
15 78 0
50 32 5
44 0 4
44 64 1
32 70 -4
40 24 1
54 12 3
78 23 0
4 78 0
51 51 -2
60 28 -5
91 93 -1
15 54 2
78 93 -3
99 43 -4
15 61 -4
21 54 4
10 76 -2
17 56 4
48 86 3
3 76 -5
19 34 0
80 12 1
72 39 1
69 66 -4
85 98 2
76 60 -4
73 86 -1
52 56 -3
5 96 4
5 13 -4
52 14 -2
30 20 0
66 77 4
59 62 -1
67 85 -4
4 32 -5
48 48 5
65 0 -3
94 60 4
64 33 2
20 41 1
3 60 -4
4 1 -1
36 54 -4
52 35 -1
12 85 3
21 92 5
58 59 2
97 21 2
13 64 1
71 58 0
52 55 3
98 49 -5
16 81 4
50 90 -3
42 50 2
43 8 3
31 11 2
25 20 2
65 48 1
51 84 -4
29 23 0
83 18 -2
39 10 -3
90 7 -1
85 19 1
25 29 -5
1 23 -3
34 24 0
6 64 5
48 76 -2
40 42 5
94 0 -1
92 11 -3
69 67 -1
11 60 -2
31 27 -4
86 32 -1
51 44 5
72 97 1
23 15 -3
19 9 4
2 17 4
6 98 -4
56 68 -3
77 13 4
42 49 5
65 42 -2
83 10 -4
14 95 -5
70 83 4
17 62 4
9 87 -3
97 26 3
54 83 -5
88 73 3
29 76 3
30 97 -2
13 77 0
97 88 -2
34 53 5
45 39 -1
28 55 -2
94 10 3
82 11 -1
77 63 2
23 63 2
4 56 -4
7 70 -1
39 1 2
81 60 3
23 55 5
5 12 -5
8 50 4
87 35 -4
23 93 1
49 69 0
39 17 1
24 66 -1
73 57 2
40 39 2
26 22 -4
71 56 0
10 1 -4
40 1 -5
17 34 -1
12 36 4
87 97 -1
43 39 -2
29 23 1
61 92 5
10 26 3
56 23 4
70 78 4
97 12 -3
24 33 5
78 94 -3
74 78 -3
94 76 3
88 33 4
38 57 -1
39 63 1
99 88 -2
67 19 5
46 39 0
83 84 2
66 65 -2
41 39 -3
67 19 0
63 24 -2
47 89 3
51 42 -4
71 5 4
35 63 3
58 67 0
85 51 0
38 77 0
16 12 -3
19 6 -5
66 94 -3
48 95 -1
54 62 2
87 87 0
59 76 3
41 15 -2
43 88 4
64 96 -2
76 70 0
1 13 5
0 48 5
6 10 -2
41 32 4
26 66 3
3 43 3
36 37 -3
44 67 -1
6 99 -2
49 73 0
41 11 -3
2 86 -4
4 42 3
57 83 -5
12 67 0
12 2 -3
83 59 -4
4 67 -5
81 27 1
59 2 -5
6 61 -2
35 43 2
13 53 2
15 76 -3
13 18 4
74 77 2
8 21 1
43 21 2
36 31 -3
19 61 2
17 18 -4
60 43 -4
48 4 2
3 36 3
10 50 4
81 37 -5
71 39 -5
31 15 4
5 51 -3
90 72 -3
94 34 -2
74 55 0
42 92 -4
92 20 5
59 22 2
12 97 -2
59 12 4
56 5 3
4 90 -3
34 45 -3
93 29 1
54 31 -1
9 53 3
65 31 -5
44 0 5
44 10 4
90 19 0
93 40 5
68 71 -4
0 94 -3
57 33 -3
60 9 -4
88 27 3
71 98 0
77 79 2
98 74 0
87 32 1
70 8 2
75 70 -1
70 13 -2
27 37 -4
61 1 5
8 63 0
25 66 -5
27 41 2
66 46 0
33 99 -5
33 54 -2
12 35 -5
11 15 -5
82 96 -3
21 17 2
69 17 -5
68 17 -2
